month,season,hour,hour_categorized,Primary Type,Arrest,Domestic,Beat,Year
2,3,17,1,BATTERY,0,0,2521,2012
11,0,16,1,BATTERY,0,1,1633,2012
7,2,17,1,THEFT,0,0,913,2012
10,0,23,2,BATTERY,1,1,2223,2012
10,0,13,1,THEFT,0,0,111,2012
2,3,4,2,CRIMINAL DAMAGE,0,0,1312,2012
11,0,17,1,THEFT,0,0,233,2012
7,2,19,2,THEFT,1,0,321,2012
11,0,22,2,CRIMINAL DAMAGE,1,1,1324,2012
3,1,23,2,NARCOTICS,1,0,1533,2012
12,3,21,2,BATTERY,1,0,1913,2012
7,2,3,2,THEFT,1,0,1012,2012
2,3,18,2,THEFT,0,0,834,2012
5,1,8,0,CRIMINAL DAMAGE,0,0,1522,2012
1,3,11,0,CRIMINAL DAMAGE,0,0,613,2012
8,2,22,2,THEFT,0,0,1212,2012
5,1,6,0,NARCOTICS,1,0,1654,2012
4,1,9,0,CRIMINAL DAMAGE,0,0,1112,2012
8,2,14,1,BATTERY,1,0,233,2012
9,0,22,2,THEFT,0,0,1421,2012
8,2,3,2,BATTERY,0,0,1922,2012
1,3,10,0,THEFT,0,0,724,2012
4,1,18,2,THEFT,0,0,231,2012
2,3,10,0,NARCOTICS,1,0,1124,2012
7,2,12,1,BATTERY,0,0,1112,2012
5,1,21,2,NARCOTICS,1,0,1522,2012
7,2,0,2,BATTERY,0,1,422,2012
1,3,20,2,NARCOTICS,1,0,324,2012
1,3,4,2,THEFT,0,0,1831,2012
5,1,17,1,BATTERY,0,0,1112,2012
6,2,16,1,THEFT,0,0,214,2012
11,0,0,2,BATTERY,0,1,223,2012
8,2,1,2,CRIMINAL DAMAGE,0,0,1433,2012
1,3,0,2,CRIMINAL DAMAGE,0,0,431,2012
6,2,18,2,BATTERY,0,0,2424,2012
8,2,22,2,BATTERY,1,1,1013,2012
3,1,18,2,CRIMINAL DAMAGE,0,0,933,2012
1,3,0,2,CRIMINAL DAMAGE,0,0,1623,2012
3,1,13,1,NARCOTICS,1,0,611,2012
8,2,21,2,CRIMINAL DAMAGE,0,0,1022,2012
1,3,1,2,BATTERY,1,0,1831,2012
1,3,19,2,THEFT,0,0,2013,2012
5,1,23,2,CRIMINAL DAMAGE,0,1,922,2012
